downloadExtraOptions,downloadOptions,duration,engineName,runningState,title,upload_date,uploader,url
,,00:04:05,,Not Started,MQL4 TUTORIAL THE TRADING SECRET NOBODY IS GOING TO TELL YOU,Wed Mar 27 2019,MQL4Tutorial,https://www.youtube.com/watch?v=BWmsaGPN3mg
,,00:04:44,,Not Started,MQL4 TUTORIAL BASICS - 26 HOW TO CODE A SIMPLE BUY TRAILING STOP,Sun Jul 14 2019,MQL4Tutorial,https://www.youtube.com/watch?v=f_LfSAamO44
,,00:05:21,,Not Started,MQL4 TUTORIAL BASICS - 21 HOW TO CODE A MACD EXPERT ADVISOR,Sun Jun 9 2019,MQL4Tutorial,https://www.youtube.com/watch?v=uW1q915iuW8
,,00:02:20,,Not Started,MQL4 TUTORIAL - WHERE TO DOWNLOAD METATRADER4 IN 2019,Sun Jan 13 2019,MQL4Tutorial,https://www.youtube.com/watch?v=qeHXYuWlhp8
,,00:07:39,,Not Started,MQL4 TUTORIAL BASICS - 20 HOW TO CODE A SIMPLE CROSSOVER EXPERT ADVISOR,Sun Jun 2 2019,MQL4Tutorial,https://www.youtube.com/watch?v=sQ8rA5yFhog
,,00:06:05,,Not Started,MQL4 TUTORIAL BASICS - 12 HOW TO OPEN A BUY ORDER,Sun Apr 7 2019,MQL4Tutorial,https://www.youtube.com/watch?v=vORmqHlavEo
,,00:05:15,,Not Started,MQL4 TUTORIAL BASICS - 22 HOW TO CODE AN RSI EXPERT ADVISOR,Sun Jun 16 2019,MQL4Tutorial,https://www.youtube.com/watch?v=BxpJ96504s0
,,00:05:20,,Not Started,MQL4 TUTORIAL BASICS - 34 HOW TO GET THE HIGHEST CANDLE PRICE,Sun Sep 8 2019,MQL4Tutorial,https://www.youtube.com/watch?v=iLNexsyijLs
,,00:05:19,,Not Started,MQL4 Tutorial - Simple Moving Average Crossover Expert Advisor,Mon Apr 18 2022,MQL4Tutorial,https://www.youtube.com/watch?v=pd6PVV7qHvE
,,00:04:22,,Not Started,MQL4 TUTORIAL BASICS - 1 WHAT IS INSIDE OF THE EA TEMPLATE,Sun Jan 20 2019,MQL4Tutorial,https://www.youtube.com/watch?v=Gzb1tYKgVAI
,,00:05:01,,Not Started,MQL4 TUTORIAL BASICS - 30 HOW TO CLOSE ALL OPEN BUY POSITIONS,Sun Aug 11 2019,MQL4Tutorial,https://www.youtube.com/watch?v=VG7s74dFQR0
,,00:06:57,,Not Started,MQL4 TUTORIAL BASICS - 47 SIMPLE STOCHASTIC EA,Sun Dec 8 2019,MQL4Tutorial,https://www.youtube.com/watch?v=gZdo1XNCz0U
,,00:06:02,,Not Started,MQL4 TUTORIAL BASICS - 28 HOW TO COUNT OPEN BUY POSITIONS,Sun Jul 28 2019,MQL4Tutorial,https://www.youtube.com/watch?v=vOkwXJ2xIqI
,,00:05:53,,Not Started,MQL4 TUTORIAL BASICS - 37 HOW TO IMPORT EXTERNAL SOURCECODE,Sun Sep 29 2019,MQL4Tutorial,https://www.youtube.com/watch?v=8O2xUx125_I
,,00:07:11,,Not Started,MQL4 TUTORIAL BASICS - 53 SIMPLE FIBONACCI OBJECT,Sun Jan 19 2020,MQL4Tutorial,https://www.youtube.com/watch?v=Ghcn3S8sDGI
,,00:04:58,,Not Started,MQL4 TUTORIAL BASICS - 23 HOW TO CODE A PARABOLIC SAR EXPERT ADVISOR,Sun Jun 23 2019,MQL4Tutorial,https://www.youtube.com/watch?v=XmA0fFPneGA
,,00:03:54,,Not Started,MQL4 TUTORIAL BASICS - 3 HOW TO USE THE STRATEGY TESTER,Sun Feb 3 2019,MQL4Tutorial,https://www.youtube.com/watch?v=RaI4bYl_Tfc
,,00:04:18,,Not Started,MQL4 TUTORIAL BASICS - 2 WHAT IS A FUNCTION,Sun Jan 27 2019,MQL4Tutorial,https://www.youtube.com/watch?v=TiTHhj4WIbQ
,,00:05:16,,Not Started,MQL4 TUTORIAL BASICS - 27 HOW TO CODE A SIMPLE SELL TRAILING STOP,Sun Jul 21 2019,MQL4Tutorial,https://www.youtube.com/watch?v=CU7kaIxtPvo
,,00:05:53,,Not Started,MQL4 TUTORIAL BASICS - 39 SIMPLE CHART LABEL,Sun Oct 13 2019,MQL4Tutorial,https://www.youtube.com/watch?v=XM0MJIVefCc
,,00:07:12,,Not Started,MQL4 TUTORIAL BASICS - 71 SIMPLE ARROW SYMBOLS,Sun May 24 2020,MQL4Tutorial,https://www.youtube.com/watch?v=0dm38g1qEZ8
,,00:05:53,,Not Started,MQL4 TUTORIAL BASICS - 67 SIMPLE VERTICAL LINE,Sun Apr 26 2020,MQL4Tutorial,https://www.youtube.com/watch?v=sId1MYfjLwU
,,00:07:36,,Not Started,MQL4 TUTORAL BASICS 86 SIMPLE BUY BUTTON OBJECT,Sun Sep 6 2020,MQL4Tutorial,https://www.youtube.com/watch?v=EH1he8InTZ8
,,00:04:01,,Not Started,MQL4 TUTORIAL - 31 HOW TO CLOSE ALL SELL POSITIONS,Sun Aug 18 2019,MQL4Tutorial,https://www.youtube.com/watch?v=6UZVquclT_0
,,00:05:36,,Not Started,MQL4 TUTORIAL BASICS - 103 SIMPLE BUY GRID SYSTEM,Sun Feb 14 2021,MQL4Tutorial,https://www.youtube.com/watch?v=jN3xJ6bPUnA
,,00:05:27,,Not Started,MQL4 TUTORIAL - SIMPLE ORDER CLOSE EA,Sun May 15 2022,MQL4Tutorial,https://www.youtube.com/watch?v=1Gg8pR4wsWQ
,,00:06:18,,Not Started,MQL4 TUTORIAL BASICS - 40 SIMPLE BUY BREAKEVEN STOP,Sun Oct 20 2019,MQL4Tutorial,https://www.youtube.com/watch?v=CLugX3bY5dQ
,,00:07:28,,Not Started,MQL4 TUTORIAL BASICS - 75 SIMPLE TIME FILTER,Sun Jun 21 2020,MQL4Tutorial,https://www.youtube.com/watch?v=plkQPftL4dU
,,00:07:14,,Not Started,MQL4 TUTORIAL BASICS - 89 SIMPLE HIGH PRICE TREND LINE,Sun Sep 27 2020,MQL4Tutorial,https://www.youtube.com/watch?v=IW_xzqhAX5Y
,,00:06:10,,Not Started,MQL4 TUTORIAL BASICS - 48 SIMPLE CHART OBJECT,Sun Dec 15 2019,MQL4Tutorial,https://www.youtube.com/watch?v=iTOusSw70V0
,,00:05:14,,Not Started,MQL4 TUTORIAL BASICS - 10 HOW TO CODE A CUSTOM FUNCTION,Sun Mar 24 2019,MQL4Tutorial,https://www.youtube.com/watch?v=_orcrMv8s3I
,,00:04:51,,Not Started,MQL4 TUTORIAL BASICS - 4 WHAT ARE DATA TYPES,Sun Feb 10 2019,MQL4Tutorial,https://www.youtube.com/watch?v=1VF4iSC1PJk
,,00:05:28,,Not Started,MQL4 TUTORIAL BASICS - 6 SIMPLE IF STATEMENT,Sun Feb 24 2019,MQL4Tutorial,https://www.youtube.com/watch?v=HqpgLwlxhyg
,,00:05:07,,Not Started,MQL4 TUTORIAL BASICS - 63 SIMPLE CHECK FOR NEW BARS,Sun Mar 29 2020,MQL4Tutorial,https://www.youtube.com/watch?v=9z8YSwIHRu4
,,00:05:52,,Not Started,MQL4 TUTORIAL BASICS - 11 HOW TO CALCULATE A SIMPLE MOVING AVERAGE,Sun Mar 31 2019,MQL4Tutorial,https://www.youtube.com/watch?v=wPBlYbp8DgM
,,00:04:56,,Not Started,MQL4 TUTORIAL BASICS - 5 HOW TO DO BASIC CALCULATIONS,Sun Feb 17 2019,MQL4Tutorial,https://www.youtube.com/watch?v=UC85tIrnLpU
,,00:05:10,,Not Started,MQL4 TUTORIAL BASICS 41 SIMPLE SELL BREAKEVEN STOP,Sun Oct 27 2019,MQL4Tutorial,https://www.youtube.com/watch?v=mi6pCe4XDNc
,,00:05:29,,Not Started,MQL4 TUTORIAL BASICS - 35 HOW TO GET THE LOWEST CANDLE PRICE,Sun Sep 15 2019,MQL4Tutorial,https://www.youtube.com/watch?v=XEn0lX7k-oI
,,00:05:30,,Not Started,MQL4 TUTORIAL BASICS - 9 HOW TO USE A FOR LOOP,Sun Mar 17 2019,MQL4Tutorial,https://www.youtube.com/watch?v=j_Emd2We-90
,,00:06:33,,Not Started,MQL4 TUTORIAL BASICS - 14 HOW TO SET A BUY LIMIT,Sun Apr 21 2019,MQL4Tutorial,https://www.youtube.com/watch?v=_KNBFjGMn3c
,,00:05:50,,Not Started,MQL4 TUTORIAL BASICS - 7 HOW TO USE SWITCH AND CASE,Wed Mar 13 2019,MQL4Tutorial,https://www.youtube.com/watch?v=gQTNX3W0fSg
,,00:05:58,,Not Started,MQL4 TUTORIAL BASICS -  24 HOW TO CODE THE AVERAGE TRUE RANGE OSCILLATOR,Sun Jun 30 2019,MQL4Tutorial,https://www.youtube.com/watch?v=ZaZf578us9k
